Date,Crash,Autumn,Winter,Spring,Weekend,Rained,Day,Attendance_number
2012-01-01,1,0,0,0,1,0.0,6,0.0
2012-01-02,1,0,0,0,0,0.0,0,0.0
2012-01-03,1,0,0,0,0,0.0,1,0.0
2012-01-04,0,0,0,0,0,0.0,2,0.0
2012-01-05,0,0,0,0,0,0.0,3,0.0
2012-01-06,1,0,0,0,0,1.0,4,0.0
2012-01-07,0,0,0,0,1,0.0,5,0.0
2012-01-08,1,0,0,0,1,0.0,6,0.0
2012-01-09,0,0,0,0,0,1.0,0,0.0
2012-01-10,1,0,0,0,0,0.0,1,0.0
2012-01-11,0,0,0,0,0,0.0,2,0.0
2012-01-12,1,0,0,0,0,0.0,3,0.0
2012-01-13,1,0,0,0,0,0.0,4,0.0
2012-01-14,0,0,0,0,1,0.0,5,0.0
2012-01-15,1,0,0,0,1,1.0,6,0.0
2012-01-16,1,0,0,0,0,1.0,0,0.0
2012-01-17,0,0,0,0,0,1.0,1,0.0
2012-01-18,1,0,0,0,0,0.0,2,0.0
2012-01-19,1,0,0,0,0,0.0,3,0.0
2012-01-20,0,0,0,0,0,0.0,4,0.0
2012-01-21,0,0,0,0,1,0.0,5,0.0
2012-01-22,1,0,0,0,1,1.0,6,0.0
2012-01-23,1,0,0,0,0,1.0,0,0.0
2012-01-24,1,0,0,0,0,0.0,1,0.0
2012-01-25,1,0,0,0,0,1.0,2,38.0
2012-01-26,0,0,0,0,0,1.0,3,0.0
2012-01-27,1,0,0,0,0,1.0,4,0.0
2012-01-28,0,0,0,0,1,1.0,5,0.0
2012-01-29,1,0,0,0,1,0.0,6,0.0
2012-01-30,1,0,0,0,0,1.0,0,0.0
2012-01-31,1,0,0,0,0,0.0,1,0.0
2012-02-01,1,0,0,0,0,1.0,2,0.0
2012-02-02,1,0,0,0,0,1.0,3,0.0
2012-02-03,1,0,0,0,0,1.0,4,0.0
2012-02-04,1,0,0,0,1,1.0,5,175.0
2012-02-05,0,0,0,0,1,0.0,6,0.0
2012-02-06,0,0,0,0,0,0.0,0,0.0
2012-02-07,1,0,0,0,0,1.0,1,0.0
2012-02-08,1,0,0,0,0,1.0,2,0.0
2012-02-09,1,0,0,0,0,1.0,3,0.0
2012-02-10,0,0,0,0,0,1.0,4,0.0
2012-02-11,1,0,0,0,1,1.0,5,0.0
2012-02-12,1,0,0,0,1,1.0,6,1562.0
2012-02-13,0,0,0,0,0,1.0,0,0.0
2012-02-14,0,0,0,0,0,0.0,1,0.0
2012-02-15,1,0,0,0,0,1.0,2,0.0
2012-02-16,1,0,0,0,0,0.0,3,0.0
2012-02-17,1,0,0,0,0,0.0,4,0.0
2012-02-18,1,0,0,0,1,1.0,5,0.0
2012-02-19,1,0,0,0,1,0.0,6,0.0
2012-02-20,1,0,0,0,0,1.0,0,0.0
2012-02-21,0,0,0,0,0,1.0,1,0.0
2012-02-22,1,0,0,0,0,0.0,2,0.0
2012-02-23,1,0,0,0,0,0.0,3,0.0
2012-02-24,1,0,0,0,0,0.0,4,0.0
2012-02-25,1,0,0,0,1,0.0,5,511.0
2012-02-26,0,0,0,0,1,1.0,6,0.0
2012-02-27,1,0,0,0,0,1.0,0,0.0
2012-02-28,1,0,0,0,0,1.0,1,0.0
2012-02-29,1,0,0,0,0,0.0,2,0.0
2012-03-01,1,1,0,0,0,1.0,3,0.0
2012-03-02,0,1,0,0,0,1.0,4,126.0
2012-03-03,0,1,0,0,1,1.0,5,2929.0
2012-03-04,0,1,0,0,1,1.0,6,0.0
2012-03-05,0,1,0,0,0,1.0,0,0.0
2012-03-06,0,1,0,0,0,1.0,1,0.0
2012-03-07,1,1,0,0,0,0.0,2,0.0
2012-03-08,1,1,0,0,0,1.0,3,0.0
2012-03-09,1,1,0,0,0,1.0,4,0.0
2012-03-10,0,1,0,0,1,0.0,5,0.0
2012-03-11,0,1,0,0,1,0.0,6,0.0
2012-03-12,0,1,0,0,0,0.0,0,0.0
2012-03-13,1,1,0,0,0,0.0,1,0.0
2012-03-14,1,1,0,0,0,0.0,2,0.0
2012-03-15,1,1,0,0,0,0.0,3,0.0
2012-03-16,1,1,0,0,0,0.0,4,0.0
2012-03-17,1,1,0,0,1,1.0,5,0.0
2012-03-18,1,1,0,0,1,1.0,6,0.0
2012-03-19,1,1,0,0,0,1.0,0,0.0
2012-03-20,1,1,0,0,0,1.0,1,0.0
2012-03-21,1,1,0,0,0,1.0,2,0.0
2012-03-22,1,1,0,0,0,1.0,3,0.0
2012-03-23,1,1,0,0,0,1.0,4,0.0
2012-03-24,1,1,0,0,1,0.0,5,0.0
2012-03-25,0,1,0,0,1,1.0,6,0.0
2012-03-26,1,1,0,0,0,1.0,0,0.0
2012-03-27,1,1,0,0,0,1.0,1,0.0
2012-03-28,1,1,0,0,0,0.0,2,0.0
2012-03-29,1,1,0,0,0,1.0,3,0.0
2012-03-30,1,1,0,0,0,1.0,4,0.0
2012-03-31,1,1,0,0,1,0.0,5,0.0
2012-04-01,0,1,0,0,1,0.0,6,0.0
2012-04-02,1,1,0,0,0,1.0,0,0.0
2012-04-03,0,1,0,0,0,0.0,1,0.0
2012-04-04,0,1,0,0,0,0.0,2,0.0
2012-04-05,1,1,0,0,0,0.0,3,0.0
2012-04-06,1,1,0,0,0,0.0,4,0.0
2012-04-07,1,1,0,0,1,0.0,5,0.0
2012-04-08,1,1,0,0,1,0.0,6,0.0
2012-04-09,0,1,0,0,0,1.0,0,0.0
2012-04-10,1,1,0,0,0,0.0,1,0.0
2012-04-11,1,1,0,0,0,0.0,2,0.0
2012-04-12,1,1,0,0,0,1.0,3,0.0
2012-04-13,1,1,0,0,0,1.0,4,0.0
2012-04-14,0,1,0,0,1,0.0,5,0.0
2012-04-15,1,1,0,0,1,0.0,6,0.0
2012-04-16,1,1,0,0,0,0.0,0,0.0
2012-04-17,1,1,0,0,0,1.0,1,0.0
2012-04-18,1,1,0,0,0,1.0,2,0.0
2012-04-19,0,1,0,0,0,1.0,3,0.0
2012-04-20,1,1,0,0,0,1.0,4,0.0
2012-04-21,1,1,0,0,1,1.0,5,0.0
2012-04-22,0,1,0,0,1,0.0,6,0.0
2012-04-23,0,1,0,0,0,1.0,0,0.0
2012-04-24,1,1,0,0,0,1.0,1,0.0
2012-04-25,0,1,0,0,0,1.0,2,0.0
2012-04-26,0,1,0,0,0,0.0,3,0.0
2012-04-27,1,1,0,0,0,0.0,4,0.0
2012-04-28,0,1,0,0,1,0.0,5,0.0
2012-04-29,0,1,0,0,1,0.0,6,0.0
2012-04-30,1,1,0,0,0,0.0,0,0.0
2012-05-01,0,1,0,0,0,0.0,1,0.0
2012-05-02,1,1,0,0,0,0.0,2,0.0
2012-05-03,1,1,0,0,0,1.0,3,0.0
2012-05-04,1,1,0,0,0,0.0,4,0.0
2012-05-05,0,1,0,0,1,0.0,5,0.0
2012-05-06,0,1,0,0,1,0.0,6,0.0
2012-05-07,1,1,0,0,0,0.0,0,0.0
2012-05-08,1,1,0,0,0,0.0,1,0.0
2012-05-09,1,1,0,0,0,0.0,2,0.0
2012-05-10,1,1,0,0,0,0.0,3,0.0
2012-05-11,0,1,0,0,0,0.0,4,0.0
2012-05-12,1,1,0,0,1,0.0,5,0.0
2012-05-13,1,1,0,0,1,0.0,6,0.0
2012-05-14,1,1,0,0,0,0.0,0,0.0
2012-05-15,0,1,0,0,0,0.0,1,0.0
2012-05-16,1,1,0,0,0,0.0,2,0.0
2012-05-17,0,1,0,0,0,0.0,3,0.0
2012-05-18,0,1,0,0,0,0.0,4,0.0
2012-05-19,1,1,0,0,1,1.0,5,0.0
2012-05-20,1,1,0,0,1,0.0,6,0.0
2012-05-21,1,1,0,0,0,1.0,0,0.0
2012-05-22,1,1,0,0,0,0.0,1,0.0
2012-05-23,1,1,0,0,0,0.0,2,0.0
2012-05-24,1,1,0,0,0,0.0,3,0.0
2012-05-25,1,1,0,0,0,1.0,4,0.0
2012-05-26,1,1,0,0,1,0.0,5,54.0
2012-05-27,0,1,0,0,1,0.0,6,0.0
2012-05-28,1,1,0,0,0,0.0,0,0.0
2012-05-29,1,1,0,0,0,1.0,1,0.0
2012-05-30,1,1,0,0,0,1.0,2,0.0
2012-05-31,1,0,1,0,0,1.0,3,0.0
2012-06-01,1,0,1,0,0,1.0,4,0.0
2012-06-02,1,0,1,0,1,1.0,5,0.0
2012-06-03,1,0,1,0,1,1.0,6,0.0
2012-06-04,1,0,1,0,0,1.0,0,0.0
2012-06-05,1,0,1,0,0,1.0,1,0.0
2012-06-06,1,0,1,0,0,1.0,2,0.0
2012-06-07,0,0,1,0,0,1.0,3,0.0
2012-06-08,1,0,1,0,0,1.0,4,0.0
2012-06-09,1,0,1,0,1,0.0,5,0.0
2012-06-10,0,0,1,0,1,1.0,6,91.0
2012-06-11,1,0,1,0,0,1.0,0,0.0
2012-06-12,0,0,1,0,0,1.0,1,0.0
2012-06-13,0,0,1,0,0,1.0,2,0.0
2012-06-14,1,0,1,0,0,1.0,3,0.0
2012-06-15,0,0,1,0,0,1.0,4,0.0
2012-06-16,1,0,1,0,1,1.0,5,0.0
2012-06-17,1,0,1,0,1,1.0,6,0.0
2012-06-18,0,0,1,0,0,1.0,0,11.0
2012-06-19,1,0,1,0,0,0.0,1,0.0
2012-06-20,0,0,1,0,0,0.0,2,0.0
2012-06-21,1,0,1,0,0,0.0,3,0.0
2012-06-22,1,0,1,0,0,0.0,4,0.0
2012-06-23,1,0,1,0,1,0.0,5,0.0
2012-06-24,0,0,1,0,1,0.0,6,0.0
2012-06-25,1,0,1,0,0,0.0,0,0.0
2012-06-26,1,0,1,0,0,1.0,1,0.0
2012-06-27,1,0,1,0,0,1.0,2,0.0
2012-06-28,1,0,1,0,0,0.0,3,0.0
2012-06-29,0,0,1,0,0,1.0,4,0.0
2012-06-30,1,0,1,0,1,0.0,5,0.0
2012-07-01,0,0,1,0,1,0.0,6,0.0
2012-07-02,0,0,1,0,0,0.0,0,0.0
2012-07-03,0,0,1,0,0,0.0,1,0.0
2012-07-04,1,0,1,0,0,0.0,2,0.0
2012-07-05,1,0,1,0,0,1.0,3,0.0
2012-07-06,1,0,1,0,0,1.0,4,0.0
2012-07-07,1,0,1,0,1,1.0,5,0.0
2012-07-08,1,0,1,0,1,1.0,6,0.0
2012-07-09,0,0,1,0,0,1.0,0,0.0
2012-07-10,1,0,1,0,0,0.0,1,0.0
2012-07-11,1,0,1,0,0,1.0,2,0.0
2012-07-12,0,0,1,0,0,0.0,3,0.0
2012-07-13,1,0,1,0,0,1.0,4,0.0
2012-07-14,1,0,1,0,1,1.0,5,0.0
2012-07-15,0,0,1,0,1,0.0,6,0.0
2012-07-16,0,0,1,0,0,0.0,0,0.0
2012-07-17,0,0,1,0,0,0.0,1,0.0
2012-07-18,1,0,1,0,0,0.0,2,0.0
2012-07-19,0,0,1,0,0,0.0,3,0.0
2012-07-20,0,0,1,0,0,0.0,4,0.0
2012-07-21,0,0,1,0,1,1.0,5,0.0
2012-07-22,1,0,1,0,1,1.0,6,0.0
2012-07-23,0,0,1,0,0,1.0,0,0.0
2012-07-24,0,0,1,0,0,1.0,1,0.0
2012-07-25,1,0,1,0,0,1.0,2,0.0
2012-07-26,1,0,1,0,0,1.0,3,0.0
2012-07-27,1,0,1,0,0,1.0,4,0.0
2012-07-28,0,0,1,0,1,0.0,5,0.0
2012-07-29,1,0,1,0,1,0.0,6,0.0
2012-07-30,1,0,1,0,0,0.0,0,0.0
2012-07-31,1,0,1,0,0,1.0,1,0.0
2012-08-01,0,0,1,0,0,1.0,2,109.0
2012-08-02,1,0,1,0,0,0.0,3,0.0
2012-08-03,1,0,1,0,0,0.0,4,0.0
2012-08-04,0,0,1,0,1,0.0,5,0.0
2012-08-05,0,0,1,0,1,0.0,6,0.0
2012-08-06,1,0,1,0,0,0.0,0,0.0
2012-08-07,0,0,1,0,0,0.0,1,0.0
2012-08-08,1,0,1,0,0,0.0,2,0.0
2012-08-09,1,0,1,0,0,0.0,3,0.0
2012-08-10,1,0,1,0,0,0.0,4,0.0
2012-08-11,1,0,1,0,1,1.0,5,0.0
2012-08-12,1,0,1,0,1,1.0,6,0.0
2012-08-13,0,0,1,0,0,1.0,0,0.0
2012-08-14,1,0,1,0,0,0.0,1,0.0
2012-08-15,0,0,1,0,0,0.0,2,0.0
2012-08-16,1,0,1,0,0,0.0,3,0.0
2012-08-17,1,0,1,0,0,0.0,4,0.0
2012-08-18,0,0,1,0,1,1.0,5,0.0
2012-08-19,0,0,1,0,1,0.0,6,0.0
2012-08-20,0,0,1,0,0,0.0,0,0.0
2012-08-21,1,0,1,0,0,0.0,1,0.0
2012-08-22,1,0,1,0,0,0.0,2,0.0
2012-08-23,0,0,1,0,0,0.0,3,0.0
2012-08-24,1,0,1,0,0,1.0,4,0.0
2012-08-25,0,0,1,0,1,0.0,5,0.0
2012-08-26,0,0,1,0,1,0.0,6,0.0
2012-08-27,0,0,1,0,0,0.0,0,0.0
2012-08-28,0,0,1,0,0,0.0,1,0.0
2012-08-29,1,0,1,0,0,0.0,2,0.0
2012-08-30,1,0,0,1,0,0.0,3,0.0
2012-08-31,0,0,0,1,0,0.0,4,0.0
2012-09-01,1,0,0,1,1,1.0,5,0.0
2012-09-02,1,0,0,1,1,1.0,6,0.0
2012-09-03,1,0,0,1,0,0.0,0,0.0
2012-09-04,1,0,0,1,0,0.0,1,0.0
2012-09-05,1,0,0,1,0,0.0,2,0.0
2012-09-06,0,0,0,1,0,0.0,3,0.0
2012-09-07,0,0,0,1,0,0.0,4,0.0
2012-09-08,0,0,0,1,1,0.0,5,0.0
2012-09-09,1,0,0,1,1,0.0,6,0.0
2012-09-10,1,0,0,1,0,0.0,0,0.0
2012-09-11,0,0,0,1,0,0.0,1,0.0
2012-09-12,1,0,0,1,0,0.0,2,0.0
2012-09-13,1,0,0,1,0,0.0,3,0.0
2012-09-14,1,0,0,1,0,1.0,4,0.0
2012-09-15,1,0,0,1,1,0.0,5,191.0
2012-09-16,1,0,0,1,1,0.0,6,0.0
2012-09-17,1,0,0,1,0,0.0,0,0.0
2012-09-18,1,0,0,1,0,1.0,1,0.0
2012-09-19,0,0,0,1,0,1.0,2,0.0
2012-09-20,1,0,0,1,0,0.0,3,0.0
2012-09-21,0,0,0,1,0,0.0,4,0.0
2012-09-22,0,0,0,1,1,1.0,5,0.0
2012-09-23,1,0,0,1,1,0.0,6,0.0
2012-09-24,1,0,0,1,0,1.0,0,0.0
2012-09-25,0,0,0,1,0,1.0,1,0.0
2012-09-26,1,0,0,1,0,0.0,2,0.0
2012-09-27,0,0,0,1,0,0.0,3,254.0
2012-09-28,1,0,0,1,0,0.0,4,263.0
2012-09-29,0,0,0,1,1,1.0,5,109.0
2012-09-30,1,0,0,1,1,0.0,6,0.0
2012-10-01,0,0,0,1,0,0.0,0,0.0
2012-10-02,1,0,0,1,0,1.0,1,0.0
2012-10-03,1,0,0,1,0,0.0,2,0.0
2012-10-04,0,0,0,1,0,0.0,3,0.0
2012-10-05,1,0,0,1,0,0.0,4,0.0
2012-10-06,1,0,0,1,1,1.0,5,0.0
2012-10-07,0,0,0,1,1,1.0,6,0.0
2012-10-08,1,0,0,1,0,0.0,0,0.0
2012-10-09,1,0,0,1,0,1.0,1,0.0
2012-10-10,1,0,0,1,0,0.0,2,0.0
2012-10-11,1,0,0,1,0,1.0,3,0.0
2012-10-12,1,0,0,1,0,1.0,4,0.0
2012-10-13,1,0,0,1,1,1.0,5,0.0
2012-10-14,0,0,0,1,1,0.0,6,0.0
2012-10-15,0,0,0,1,0,0.0,0,0.0
2012-10-16,1,0,0,1,0,0.0,1,0.0
2012-10-17,1,0,0,1,0,0.0,2,0.0
2012-10-18,1,0,0,1,0,0.0,3,0.0
2012-10-19,0,0,0,1,0,0.0,4,0.0
2012-10-20,1,0,0,1,1,0.0,5,0.0
2012-10-21,0,0,0,1,1,0.0,6,12.0
2012-10-22,1,0,0,1,0,0.0,0,0.0
2012-10-23,1,0,0,1,0,1.0,1,0.0
2012-10-24,1,0,0,1,0,0.0,2,0.0
2012-10-25,1,0,0,1,0,0.0,3,0.0
2012-10-26,1,0,0,1,0,0.0,4,0.0
2012-10-27,1,0,0,1,1,0.0,5,0.0
2012-10-28,1,0,0,1,1,0.0,6,0.0
2012-10-29,0,0,0,1,0,0.0,0,0.0
2012-10-30,0,0,0,1,0,0.0,1,0.0
2012-10-31,1,0,0,1,0,0.0,2,0.0
2012-11-01,1,0,0,1,0,0.0,3,0.0
2012-11-02,1,0,0,1,0,0.0,4,0.0
2012-11-03,1,0,0,1,1,1.0,5,0.0
2012-11-04,0,0,0,1,1,1.0,6,0.0
2012-11-05,0,0,0,1,0,0.0,0,0.0
2012-11-06,1,0,0,1,0,0.0,1,0.0
2012-11-07,1,0,0,1,0,0.0,2,0.0
2012-11-08,0,0,0,1,0,1.0,3,0.0
2012-11-09,1,0,0,1,0,1.0,4,0.0
2012-11-10,1,0,0,1,1,1.0,5,0.0
2012-11-11,1,0,0,1,1,0.0,6,0.0
2012-11-12,0,0,0,1,0,0.0,0,0.0
2012-11-13,0,0,0,1,0,0.0,1,0.0
2012-11-14,1,0,0,1,0,1.0,2,0.0
2012-11-15,0,0,0,1,0,1.0,3,0.0
2012-11-16,0,0,0,1,0,0.0,4,0.0
2012-11-17,1,0,0,1,1,1.0,5,6.0
2012-11-18,0,0,0,1,1,0.0,6,0.0
2012-11-19,0,0,0,1,0,0.0,0,0.0
2012-11-20,1,0,0,1,0,1.0,1,0.0
2012-11-21,1,0,0,1,0,1.0,2,0.0
2012-11-22,0,0,0,1,0,0.0,3,0.0
2012-11-23,1,0,0,1,0,0.0,4,0.0
2012-11-24,0,0,0,1,1,0.0,5,0.0
2012-11-25,1,0,0,1,1,0.0,6,0.0
2012-11-26,1,0,0,1,0,0.0,0,0.0
2012-11-27,0,0,0,1,0,1.0,1,0.0
2012-11-28,0,0,0,1,0,1.0,2,0.0
2012-11-29,1,0,0,0,0,1.0,3,0.0
2012-11-30,1,0,0,0,0,0.0,4,0.0
2012-12-01,1,0,0,0,1,1.0,5,0.0
2012-12-02,0,0,0,0,1,1.0,6,0.0
2012-12-03,1,0,0,0,0,1.0,0,0.0
2012-12-04,1,0,0,0,0,1.0,1,0.0
2012-12-05,0,0,0,0,0,0.0,2,0.0
2012-12-06,1,0,0,0,0,0.0,3,0.0
2012-12-07,1,0,0,0,0,0.0,4,0.0
2012-12-08,1,0,0,0,1,0.0,5,0.0
2012-12-09,1,0,0,0,1,0.0,6,0.0
2012-12-10,1,0,0,0,0,1.0,0,0.0
2012-12-11,1,0,0,0,0,1.0,1,0.0
2012-12-12,1,0,0,0,0,1.0,2,0.0
2012-12-13,1,0,0,0,0,0.0,3,0.0
2012-12-14,1,0,0,0,0,0.0,4,0.0
2012-12-15,0,0,0,0,1,0.0,5,0.0
2012-12-16,1,0,0,0,1,0.0,6,0.0
2012-12-17,1,0,0,0,0,0.0,0,0.0
2012-12-18,1,0,0,0,0,0.0,1,0.0
2012-12-19,0,0,0,0,0,0.0,2,0.0
2012-12-20,1,0,0,0,0,0.0,3,0.0
2012-12-21,1,0,0,0,0,0.0,4,0.0
2012-12-22,0,0,0,0,1,0.0,5,0.0
2012-12-23,0,0,0,0,1,0.0,6,0.0
2012-12-24,1,0,0,0,0,0.0,0,0.0
2012-12-25,0,0,0,0,0,1.0,1,0.0
2012-12-26,1,0,0,0,0,1.0,2,0.0
2012-12-27,0,0,0,0,0,0.0,3,0.0
2012-12-28,0,0,0,0,0,0.0,4,0.0
2012-12-29,1,0,0,0,1,0.0,5,0.0
2012-12-30,0,0,0,0,1,1.0,6,0.0
2012-12-31,0,0,0,0,0,0.0,0,0.0
2013-01-01,0,0,0,0,0,0.0,1,0.0
2013-01-02,1,0,0,0,0,0.0,2,0.0
2013-01-03,0,0,0,0,0,0.0,3,0.0
2013-01-04,0,0,0,0,0,0.0,4,0.0
2013-01-05,1,0,0,0,1,0.0,5,0.0
2013-01-06,1,0,0,0,1,0.0,6,0.0
2013-01-07,0,0,0,0,0,0.0,0,0.0
2013-01-08,1,0,0,0,0,0.0,1,0.0
2013-01-09,0,0,0,0,0,0.0,2,0.0
2013-01-10,0,0,0,0,0,0.0,3,0.0
2013-01-11,1,0,0,0,0,0.0,4,0.0
2013-01-12,1,0,0,0,1,0.0,5,0.0
2013-01-13,1,0,0,0,1,0.0,6,0.0
2013-01-14,1,0,0,0,0,1.0,0,0.0
2013-01-15,0,0,0,0,0,0.0,1,0.0
2013-01-16,1,0,0,0,0,0.0,2,0.0
2013-01-17,1,0,0,0,0,0.0,3,0.0
2013-01-18,1,0,0,0,0,0.0,4,0.0
2013-01-19,1,0,0,0,1,1.0,5,0.0
2013-01-20,1,0,0,0,1,0.0,6,0.0
2013-01-21,1,0,0,0,0,1.0,0,0.0
2013-01-22,1,0,0,0,0,1.0,1,0.0
2013-01-23,1,0,0,0,0,0.0,2,0.0
2013-01-24,0,0,0,0,0,0.0,3,0.0
2013-01-25,0,0,0,0,0,0.0,4,183.0
2013-01-26,1,0,0,0,1,0.0,5,0.0
2013-01-27,1,0,0,0,1,1.0,6,0.0
2013-01-28,1,0,0,0,0,1.0,0,0.0
2013-01-29,0,0,0,0,0,1.0,1,0.0
2013-01-30,1,0,0,0,0,1.0,2,477.0
2013-01-31,0,0,0,0,0,0.0,3,0.0
2013-02-01,0,0,0,0,0,0.0,4,0.0
2013-02-02,0,0,0,0,1,1.0,5,0.0
2013-02-03,1,0,0,0,1,1.0,6,111.0
2013-02-04,1,0,0,0,0,1.0,0,0.0
2013-02-05,1,0,0,0,0,1.0,1,0.0
2013-02-06,0,0,0,0,0,1.0,2,0.0
2013-02-07,1,0,0,0,0,0.0,3,0.0
2013-02-08,1,0,0,0,0,0.0,4,0.0
2013-02-09,0,0,0,0,1,0.0,5,423.0
2013-02-10,1,0,0,0,1,0.0,6,1160.0
2013-02-11,1,0,0,0,0,1.0,0,0.0
2013-02-12,0,0,0,0,0,1.0,1,98.0
2013-02-13,0,0,0,0,0,1.0,2,0.0
2013-02-14,1,0,0,0,0,0.0,3,0.0
2013-02-15,0,0,0,0,0,1.0,4,33.0
2013-02-16,1,0,0,0,1,1.0,5,255.0
2013-02-17,0,0,0,0,1,1.0,6,0.0
2013-02-18,0,0,0,0,0,1.0,0,0.0
2013-02-19,0,0,0,0,0,1.0,1,0.0
2013-02-20,0,0,0,0,0,1.0,2,0.0
2013-02-21,1,0,0,0,0,1.0,3,0.0
2013-02-22,0,0,0,0,0,1.0,4,0.0
2013-02-23,0,0,0,0,1,1.0,5,789.0
2013-02-24,1,0,0,0,1,1.0,6,0.0
2013-02-25,0,0,0,0,0,0.0,0,79.0
2013-02-26,1,0,0,0,0,1.0,1,76.0
2013-02-27,0,0,0,0,0,0.0,2,0.0
2013-02-28,1,0,0,0,0,0.0,3,0.0
2013-03-01,1,0,0,0,0,1.0,4,148.0
2013-03-02,0,1,0,0,1,1.0,5,1682.0
2013-03-03,1,1,0,0,1,1.0,6,130.0
2013-03-04,0,1,0,0,0,1.0,0,0.0
2013-03-05,1,1,0,0,0,1.0,1,0.0
